Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
721.000000	1.562258	0.000000	
722.000000	1.562217	0.000000	
723.000000	1.562176	0.000000	
724.000000	1.562136	0.000000	
725.000000	1.562096	0.000000	
726.000000	1.562056	0.000000	
727.000000	1.562016	0.000000	
728.000000	1.561976	0.000000	
729.000000	1.561937	0.000000	
730.000000	1.561897	0.000000	
731.000000	1.561858	0.000000	
732.000000	1.561819	0.000000	
733.000000	1.561780	0.000000	
734.000000	1.561742	0.000000	
735.000000	1.561703	0.000000	
736.000000	1.561665	0.000000	
737.000000	1.561627	0.000000	
738.000000	1.561589	0.000000	
739.000000	1.561551	0.000000	
740.000000	1.561513	0.000000	
741.000000	1.561476	0.000000	
742.000000	1.561438	0.000000	
743.000000	1.561401	0.000000	
744.000000	1.561364	0.000000	
745.000000	1.561327	0.000000	
746.000000	1.561290	0.000000	
747.000000	1.561254	0.000000	
748.000000	1.561217	0.000000	
749.000000	1.561181	0.000000	
750.000000	1.561145	0.000000	
751.000000	1.561109	0.000000	
752.000000	1.561073	0.000000	
753.000000	1.561037	0.000000	
754.000000	1.561002	0.000000	
755.000000	1.560966	0.000000	
756.000000	1.560931	0.000000	
757.000000	1.560896	0.000000	
758.000000	1.560861	0.000000	
759.000000	1.560826	0.000000	
760.000000	1.560791	0.000000	
761.000000	1.560757	0.000000	
762.000000	1.560722	0.000000	
763.000000	1.560688	0.000000	
764.000000	1.560654	0.000000	
765.000000	1.560620	0.000000	
766.000000	1.560586	0.000000	
767.000000	1.560552	0.000000	
768.000000	1.560519	0.000000	
769.000000	1.560485	0.000000	
770.000000	1.560452	0.000000	
771.000000	1.560419	0.000000	
772.000000	1.560386	0.000000	
773.000000	1.560353	0.000000	
774.000000	1.560320	0.000000	
775.000000	1.560288	0.000000	
776.000000	1.560255	0.000000	
777.000000	1.560223	0.000000	
778.000000	1.560190	0.000000	
779.000000	1.560158	0.000000	
780.000000	1.560126	0.000000	
781.000000	1.560094	0.000000	
782.000000	1.560063	0.000000	
783.000000	1.560031	0.000000	
784.000000	1.559999	0.000000	
785.000000	1.559968	0.000000	
786.000000	1.559937	0.000000	
787.000000	1.559906	0.000000	
788.000000	1.559875	0.000000	
789.000000	1.559844	0.000000	
790.000000	1.559813	0.000000	
791.000000	1.559782	0.000000	
792.000000	1.559752	0.000000	
793.000000	1.559721	0.000000	
794.000000	1.559691	0.000000	
795.000000	1.559661	0.000000	
796.000000	1.559631	0.000000	
797.000000	1.559601	0.000000	
798.000000	1.559571	0.000000	
799.000000	1.559542	0.000000	
800.000000	1.559512	0.000000	
801.000000	1.559482	0.000000	
802.000000	1.559453	0.000000	
803.000000	1.559424	0.000000	
804.000000	1.559395	0.000000	
805.000000	1.559366	0.000000	
806.000000	1.559337	0.000000	
807.000000	1.559308	0.000000	
808.000000	1.559279	0.000000	
809.000000	1.559251	0.000000	
810.000000	1.559222	0.000000	
811.000000	1.559194	0.000000	
812.000000	1.559166	0.000000	
813.000000	1.559137	0.000000	
